Date,Account Ticker,Stock Ticker,Cusip,Security Description,Shares,Price,Market Value
9/4/15,VSPY,ADT,00101J106,ADT CORP/THE,57,32.25,"1,838.25"
9/4/15,VSPY,AFL,1055102,AFLAC INC,147,57.55,"8,459.85"
9/4/15,VSPY,GAS,1204106,AGL RESOURCES INC,39,60.46,"2,357.94"
9/4/15,VSPY,AES,00130H105,AES CORP,231,11.44,"2,642.64"
9/4/15,VSPY,T,00206R102,AT&T INC,2098,33.04,"69,317.92"
9/4/15,VSPY,ABT,2824100,ABBOTT LABORATORIES,507,44.14,"22,378.98"
9/4/15,VSPY,ABBV,00287Y109,ABBVIE INC,587,61.58,"36,147.46"
9/4/15,VSPY,ATVI,00507V109,ACTIVISION BLIZZARD INC,172,28.6,"4,919.20"
9/4/15,VSPY,ADBE,00724F101,ADOBE SYSTEMS INC,164,78.32,"12,844.48"
9/4/15,VSPY,AAP,00751Y106,ADVANCE AUTO PARTS INC,25,173.24,"4,331.00"
9/4/15,VSPY,AET,00817Y108,AETNA INC,117,115.18,"13,476.06"
9/4/15,VSPY,AMG,8252108,AFFILIATED MANAGERS GROUP,19,177.57,"3,373.83"
9/4/15,VSPY,A,00846U101,AGILENT TECHNOLOGIES INC,114,35.75,"4,075.50"
9/4/15,VSPY,APD,9158106,AIR PRODUCTS & CHEMICALS INC,64,139.6,"8,934.40"
9/4/15,VSPY,ARG,9363102,AIRGAS INC,22,96.26,"2,117.72"
9/4/15,VSPY,AKAM,00971T101,AKAMAI TECHNOLOGIES INC,61,73.26,"4,468.86"
9/4/15,VSPY,AA,13817101,ALCOA INC,447,9.57,"4,277.79"
9/4/15,VSPY,ALXN,15351109,ALEXION PHARMACEUTICALS INC,76,175.28,"13,321.28"
9/4/15,VSPY,ADS,18581108,ALLIANCE DATA SYSTEMS CORP,23,256.76,"5,905.48"
9/4/15,VSPY,ALL,20002101,ALLSTATE CORP,139,57.98,"8,059.22"
9/4/15,VSPY,ALTR,21441100,ALTERA CORP,102,48.95,"4,992.90"
9/4/15,VSPY,MO,02209S103,ALTRIA GROUP INC,671,53.59,"35,958.89"
9/4/15,VSPY,AMZN,23135106,AMAZON.COM INC,129,504.72,"65,108.88"
9/4/15,VSPY,AEE,23608102,AMEREN CORPORATION,84,39.25,"3,297.00"
9/4/15,VSPY,AAL,02376R102,AMERICAN AIRLINES GROUP INC,236,40.89,"9,650.04"
9/4/15,VSPY,AEP,25537101,AMERICAN ELECTRIC POWER,168,53.35,"8,962.80"
9/4/15,VSPY,AXP,25816109,AMERICAN EXPRESS CO,298,75.26,"22,427.48"
9/4/15,VSPY,AIG,26874784,AMERICAN INTERNATIONAL GROUP,455,59.45,"27,049.75"
9/4/15,VSPY,AMT,03027X100,AMERICAN TOWER CORP,147,91.02,"13,379.94"
9/4/15,VSPY,ABC,3.07E+108,AMERISOURCEBERGEN CORP,71,100,"7,100.00"
9/4/15,VSPY,AMP,03076C106,AMERIPRISE FINANCIAL INC,62,109.62,"6,796.44"
9/4/15,VSPY,AME,31100100,AMETEK INC,83,52.78,"4,380.74"
9/4/15,VSPY,AMGN,31162100,AMGEN INC,258,149.23,"38,501.34"
9/4/15,VSPY,APH,32095101,AMPHENOL CORP-CL A,106,51.98,"5,509.88"
9/4/15,VSPY,APC,32511107,ANADARKO PETROLEUM CORP,173,69.51,"12,025.23"
9/4/15,VSPY,ADI,32654105,ANALOG DEVICES INC,107,55.17,"5,903.19"
9/4/15,VSPY,ANTM,36752103,ANTHEM INC,91,142.95,"13,008.45"
9/4/15,VSPY,APA,37411105,APACHE CORP,127,43.22,"5,488.94"
9/4/15,VSPY,AIV,03748R101,APARTMENT INVT & MGMT CO -A,55,35.65,"1,960.75"
9/4/15,VSPY,AAPL,37833100,APPLE INC,1969,110.37,"217,318.53"
9/4/15,VSPY,AMAT,38222105,APPLIED MATERIALS INC,420,15.76,"6,619.20"
9/4/15,VSPY,ADM,39483102,ARCHER-DANIELS-MIDLAND CO,213,43.75,"9,318.75"
9/4/15,VSPY,AIZ,04621X108,ASSURANT INC,22,73.13,"1,608.86"
9/4/15,VSPY,ADSK,52769106,AUTODESK INC,76,45.94,"3,491.44"
9/4/15,VSPY,ADP,53015103,AUTOMATIC DATA PROCESSING,161,77.55,"12,485.55"
9/4/15,VSPY,AN,05329W102,AUTONATION INC,25,57.91,"1,447.75"
9/4/15,VSPY,AZO,53332102,AUTOZONE INC,11,729.81,"8,027.91"
9/4/15,VSPY,AVB,53484101,AVALONBAY COMMUNITIES INC,46,163.13,"7,503.98"
9/4/15,VSPY,AVY,53611109,AVERY DENNISON CORP,29,58,"1,682.00"
9/4/15,VSPY,BBT,54937107,BB&T CORP,266,36.48,"9,703.68"
9/4/15,VSPY,BHI,57224107,BAKER HUGHES INC,147,54.82,"8,058.54"
