,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
TISI,0.9786900661276284,0.040608661048512615,-27.47,,5.170025536983862e-07,0.1520343955257985,0.28328611898017
BGG,0.4997824906492075,0.021824950375037126,-4.57,0.09272014202977968,-3.082345861715076e-08,-0.20648659121993923,0.56657223796034
BE,-6.929608617842725,-0.07906393806649599,-3.43,,3.49175749901238e-07,0.346858438705625,0.84985835694051
BECN,1.0449586807957203,0.09032370289612299,-58.2,,8.559755300346134e-08,0.03718935670324451,1.13314447592068
VRTV,0.4647032604388718,0.10270262203191503,-10.21,,1.7092038364740288e-07,0.034401288757299774,1.41643059490085
TGI,-1.8741790582371962,0.030306699419807372,-6.42,0.007680855738427801,-6.612779958880366e-07,0.011761001365366367,1.69971671388102
ACM,2.099792619474769,0.09028009468157383,-30.44,,5.959826583649804e-08,0.009231075367149984,1.9830028328611897
REVG,1.2890147456854144,0.07301307571709938,-54.0,0.01963116727997212,3.376931847603275e-07,0.06133458460510872,2.26628895184136
NAV,-0.6864883667923642,0.15448629685771978,11.21,,7.108299943186541e-08,0.04116851265420155,2.5495750708215295
RRD,-0.8347049410803016,0.22181256505882277,-8.51,0.0398134578949028,1.014476311746051e-07,0.04448763234334707,2.8328611898017
AFI,0.21448726152855413,4.207468388152528,-1.63,,1.1642084486122028e-07,0.04894709834075298,3.1161473087818696
FLR,0.9309663530248062,0.30578036847038054,-2.06,0.04667432340822247,-7.48608399598894e-07,0.026630258179387925,3.39943342776204
TPC,0.3155913805276067,0.209802743629267,-2.25,,4.863928264197578e-08,0.002450926387985255,3.6827195467422094
UNVR,3.2628070717469675,0.10293825862673325,-74.0,,1.039855796559508e-07,0.10622209579876637,3.9660056657223794
QUAD,0.4191956359254264,0.3283738675658438,-1.3,0.27243632585482497,-3.6122491843060233e-07,-0.02147464260381537,4.2492917847025495
TPIC,3.25625904634461,0.06527131933358409,-29.55,,3.0792621522769417e-07,0.04848772590871272,4.53257790368272
WCC,1.0192522732873872,0.12415476427556732,10.0,,4.179272138273974e-07,0.07932035590921342,4.815864022662889
PBI,2.6833558197148064,0.20143745119509773,6.39,0.09639498263993745,3.903108359109283e-08,0.1333884040164093,5.099150141643059
DNOW,0.9309031270385418,0.09220875281113175,19.5,,1.0009630190882489e-07,-0.002198524819017845,5.382436260623229
NNBR,0.9655907666207142,0.07029766321097851,-1.59,0.03223084275683201,3.120818670635729e-07,-0.07388288909962276,5.6657223796034
ACCO,1.1379414733807511,0.15962421471996133,9.73,0.02738324761813673,4.851612948460408e-08,0.04589728388594224,5.94900849858357
MAXR,1.752791993700445,0.08306364850377107,-1.42,0.01743900256160165,2.147156003713246e-07,0.10027674707073106,6.232294617563739
GTES,1.9449419678416504,0.11630808505204036,5.0,,1.5580941157320355e-07,0.2946604067448111,6.515580736543909
J,2.2963974687245567,0.06011682251679481,-147.52,0.007233065398175872,-6.419345360714748e-07,0.18701242743779822,6.79886685552408
AEGN,1.544592269433953,0.1081973469021234,-83.08,,1.2934200420113837e-06,0.1620455568439709,7.0821529745042495
HUBG,1.872112278216196,0.09645905152847369,16.77,,-8.00750109435355e-06,-0.04382808419640512,7.365439093484419
AAL,-100.8709801392651,0.14960514351447937,6.88,0.01567729031648427,0.0,0.01773284546426328,7.64872521246459
EGLE,0.6270534113644646,0.12848480003105175,-69.07,,1.8699397452672185e-07,-0.03623328034422581,7.932011331444759
USX,0.7789689989580931,0.27635410728636306,21.3,,2.1481360706811154e-07,0.3136668905162911,8.21529745042493
MTW,0.8817345471057788,0.17938051274293768,-13.1,,3.772872848626062e-07,-0.00411694603570216,8.498583569405099
CVEO,0.4014023082208484,0.1315699541159952,-4.95,,5.109233156830446e-08,-0.16064005500963802,8.78186968838527
UAL,1.7100594920711831,0.1834230892069641,,,6.555425487709562e-08,-0.06268313927598426,9.06515580736544
ADT,1.2092887618610657,0.16082245225779487,-10.03,0.02217399095458111,1.3455883863712932e-08,0.052029849119274434,9.34844192634561
HTZ,2.176610528594328,0.2006412969116564,-16.94,,1.2155090080486914e-08,-0.07793372709367503,9.631728045325778
