,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
SPWR,-6.975858297623734,-0.056745690760340986,-8.39,,-2.2131532937076262e-07,0.3009555903486369,0.30959752321981426
ADTN,1.0627271090760477,-0.07738879613226361,-9.4,0.03796196107793615,-1.0301770088979429e-05,-0.04174152118878622,0.6191950464396285
TWOU,1.763077695029559,-0.017334835601221996,-6.64,,-5.024829692403856e-07,0.10792068540219729,0.9287925696594427
VECO,1.6038863040186577,0.028551928911902183,-3.59,,-9.579549502790375e-07,0.17085377205401955,1.238390092879257
FIT,2.1816885425177555,-0.13592287006096193,-9.4,,-3.4239184722336837e-07,-0.03413577683799746,1.5479876160990713
LLNW,3.822919237697416,0.02784622689881482,-26.27,,-2.947383189654947e-06,0.5314284648642319,1.8575851393188854
RAMP,2.213669354251385,-0.07597764109031344,3.63,,-1.4696762025444412e-06,2.1262253443626595,2.1671826625387
NPTN,2.4942240655203842,-0.010631383376326133,-15.12,,9.130203812419963e-07,0.19538765804791958,2.476780185758514
BNFT,-63.28695343614838,-0.035418346447559486,-11.61,,-6.0749439082309585e-06,-0.3546289333635375,2.786377708978328
EVOP,-24.00724147021485,0.02457501201558547,-71.23,,3.121702667684616e-07,0.08565842916806565,3.0959752321981426
ALTR,5.331157442482014,0.014307583357538036,-157.91,,-2.0029284636435716e-05,0.1417089628254748,3.4055727554179565
COMM,1.5505079914573516,0.13825783569570194,-4.99,,2.590892337995337e-08,0.09956733794909056,3.7151702786377707
CNDT,0.30302200768697457,0.33807489682364095,-0.65,,2.67640300849591e-07,0.178556950494896,4.024767801857585
EXTR,8.083406757174794,0.051557870829983456,-17.55,,-3.766711378834151e-05,0.04592189132237367,4.3343653250774
FLEX,2.2096735922275053,0.13521762237703236,-37.4,,-1.306836613268781e-08,0.02158402825640525,4.643962848297214
AAOI,0.8451198789767933,0.06019407072416563,-7.01,,-2.5730387338195264e-06,-0.13558271674327763,4.953560371517028
ARLO,1.2872333069350865,-0.25495910198526434,-2.4,,3.6029451503071513e-07,-0.5323131548378177,5.263157894736842
INFN,2.0305403605138235,-0.03276809115920532,-3.09,,-2.0364983682394268e-07,-0.5854967691528303,5.572755417956656
MTSI,5.888615948638256,0.003651045439869649,-4.69,,-3.5941156033460295e-06,0.039942555623646424,5.88235294117647
SANM,1.42425861808129,0.17679704811640548,16.69,,1.7286624356954762e-07,0.14944744308705338,6.191950464396285
