,PB Ratio,EBITDA to EV,PE Ratio,Dividend Yield,Price to Cashflow,Net Debt Change,VC2_Score
ASPS,1.059962174049589,0.15597238448120374,-24.37,,-1.747448175767101e-06,0.1567265709209432,0.5494505494505495
CLNY,0.3298679789951651,0.09949601569110415,-1.43,0.1011120055575202,3.057698958458179e-08,0.08998808593985502,1.098901098901099
FPH,1.0479500282389325,-0.03155134917826939,-47.22,,-9.58737640067299e-08,0.005333992344730624,1.6483516483516485
DHC,0.6426047355371328,0.10043432310330465,-12.17,0.1380639808676217,1.1522315831099921e-07,0.03519231568599166,2.197802197802198
TCO,-19.66868364304236,0.03596074518163527,-40.64,0.0950869040962732,3.977852031310646e-07,-0.04893950284037015,2.7472527472527473
CPLG,0.4054414059492989,0.13422377210294537,-2.3,0.088021873377459,2.726405640888576e-07,,3.296703296703297
PEI,0.7707871163236679,0.09418201101773917,-2.97,0.19914763067273686,1.0051612581839016e-07,-0.013125514101563972,3.8461538461538463
AHT,0.5919850453038267,0.09923653262418337,-1.4,0.1433662940955028,4.4617670181569854e-08,-0.06750206537056747,4.395604395604396
HT,0.578293084361867,0.08194624321899449,-22.59,0.08946012010077098,4.489060375094816e-07,0.04565733149996888,4.945054945054945
SNR,2.044808472678109,0.057502609687013206,-8.21,0.06825798509140285,1.306468198590125e-07,0.02160868408700945,5.4945054945054945
WPG,0.607783614335927,0.12708053853655166,21.03,0.3199315992621206,6.168229169428918e-08,-0.024057712298433884,6.043956043956044
CWK,3.119256889367854,0.05041543973501487,-199.18,,3.3179841075774254e-07,0.009247724714994096,6.593406593406594
RLJ,0.8145298066064441,0.10647447583415286,30.0,0.08270723293606858,1.4084418701840076e-07,0.30076375303422764,7.142857142857142
FOR,1.250068486159131,0.038869065190688404,20.05,,,-0.6624448978458358,7.6923076923076925
MAC,1.174439489178521,0.06002587925931705,26.94,0.127,9.518895779152175e-08,-0.02662537473640036,8.241758241758241
PK,1.0023223596651119,0.0829547880530846,20.18,0.08918463635331596,2.2076618693920916e-07,-0.010759594347943723,8.791208791208792
XHR,1.212758883494801,0.09065868243197611,15.84,0.05947029377094595,2.711523935111729e-07,0.11720650622685547,9.340659340659341
DRH,1.075523914981429,0.07333326664037798,,0.05334200383165767,1.752503233792032e-07,-0.05992201674600886,9.89010989010989
PEB,0.8449458827643732,0.04064872988482385,-39.74,0.06513422783506004,1.930620092292221e-07,-0.6642320825623095,10.43956043956044
WY,2.561184705614685,0.0641211803031011,-153.69,0.04578753388378146,1.0185790141484447e-07,0.09814957103710037,10.989010989010989
KRG,1.088211182151861,0.07928904392522051,-33.0,0.07241616969952218,4.967059449303632e-07,0.054068669051414865,11.538461538461538
AFIN,0.906383917345781,0.060572437599967416,-123.27,0.08524949313690187,4.82119128534456e-07,-0.04181809292651214,12.087912087912088
GEO,1.896999408861261,0.0840564537112291,12.24,0.12108582023830326,1.5025151514051628e-07,-0.049205771392453586,12.637362637362637
HST,1.60786783988469,0.10089469531999425,11.21,0.0493586267908633,5.525683662560942e-08,0.03733558528084301,13.186813186813188
CXP,0.9498381441212311,0.04489801779583294,-407.63,0.03755664983529697,4.6718557354962086e-07,0.3840194913271805,13.736263736263737
UNIT,-0.8679873037791134,0.1310641400191669,38.69,0.11377281221607416,2.16132111686857e-08,-0.06462053834320453,14.285714285714285
VER,1.4732219077254922,0.06576323845401479,-23.36,0.05948335290994036,6.269038757253842e-08,0.004864502191151726,14.835164835164836
HHC,1.7703237502313638,0.030268077796421555,49.52,,-5.555455147122739e-06,-0.13204110071468678,15.384615384615385
EQC,1.286560097848,0.03507831035602924,8.36,0.1113087050063249,1.0100282144553136e-06,1.6285325894367355,15.934065934065933
OHI,2.82233345807891,0.04471679204657632,26.81,0.06397757360873113,2.9286761731721266e-07,0.01740041052170259,16.483516483516482
SVC,1.489175954125447,0.09656068424782309,23.08,0.09547590698979451,1.1847602603937737e-07,-0.06005713769112705,17.032967032967033
STAR,1.099851792847401,0.061795776945601025,4.17,0.02735909600289013,-3.2417699620522222e-06,-0.03548230926995655,17.582417582417584
KIM,1.6351866659375631,0.05485806659436919,27.75,0.05619810407829832,1.2148516925201272e-07,0.1607664252900248,18.13186813186813
RLGY,0.5126771565759112,0.13519210764321526,-9.89,0.03655369547722538,5.925120198448404e-08,-0.06693156207984127,18.681318681318682
IRET,1.5538579870219396,0.05801128124975036,,0.0670516847445904,3.1264353331133525e-06,0.197562055752004,19.230769230769234
CXW,1.3964002184879478,0.11509556908738201,10.67,0.11250862265446387,1.2190851106670915e-07,-0.1793747236617724,19.78021978021978
APTS,0.3834869288661195,0.08839722199557856,-6.77,0.07983334385185928,2.6115706406488535e-07,-0.31058677830981246,20.32967032967033
APLE,1.05175574940288,0.09520944721497718,19.78,0.08042497962370311,1.1789388009102606e-07,-0.10244548688755596,20.87912087912088
SHO,1.111396905239629,0.10551556813678022,19.3,0.05574334508268343,1.667942110331896e-07,-0.018954396605846222,21.428571428571427
BRX,2.244485349645649,0.06823087293199206,21.53,0.05509278197671446,1.360024877018231e-07,0.14674505856732847,21.978021978021978
CASH,1.7097393216963588,0.0,15.31,0.005697516583829829,4.5516962856350565e-07,-0.03284921092309466,22.52747252747253
SITC,1.2519844469027825,0.09654390377568825,64.74,0.06181697823224403,1.939090988149105e-07,0.9418701390716194,23.076923076923077
BHR,0.5354657483568847,0.09956917082779403,-7.09,0.0825778725029792,4.858328791088585e-07,-0.21570021734518308,23.626373626373624
INN,1.032234332393341,0.08827320592972823,19.08,0.06346537933623646,2.622726817043505e-07,-0.09151887588310018,24.175824175824175
OPI,0.939644964190604,0.0486292091174409,-11.42,0.10032792888535319,7.93105525917569e-07,-0.31554035656666074,24.725274725274726
SRC,1.7180974229614603,0.030799931033299522,21.51,0.05032662971996331,4.601103169784639e-07,0.6849208097470396,25.274725274725274
SKT,3.280823007594383,0.18934178860407566,16.1,0.09569742252501065,0.0,0.016476653237857224,25.82417582417583
LXP,2.1058600099574005,0.08268283395792488,12.5,0.04551900979831316,1.765950333432095e-07,0.4137519083936527,26.373626373626376
KW,2.60833932282402,0.0267523740821135,32.45,0.0385853129312422,3.396951372887686e-07,0.03012741793972015,26.923076923076923
WSR,1.5885163876934743,0.05158732972729008,33.13,0.08783435228253729,1.178268295220584e-06,0.08807707118437266,27.472527472527474
EXPI,24.521361971114107,-0.029513204454270015,-45.42,,7.407259218638103e-07,-0.6116556432807794,28.021978021978022
UMH,1.590216734834212,-0.0012492495166972451,-23.54,0.04540911122963925,1.2079113074780156e-06,-0.12342527181570347,28.57142857142857
CLI,1.40904251008437,0.05567472247372534,11.51,0.03536078273551575,4.293055572338552e-07,0.008372779571706556,29.120879120879124
